,Station,Date,Tmax,Tmin,Tavg,Depart,DewPoint,WetBulb,Heat,Cool,Sunrise,Sunset,PrecipTotal,StnPressure,SeaLevel,ResultSpeed,ResultDir,AvgSpeed,BCFG,BR,CALM,DZ,FG,FG+,FU,GR,HZ,MIFG,RA,SN,SQ,TS,TSRA,VCFG,VCTS
0,2,2007-05-01,84.0,52.0,68.0,14.0,51.0,57.0,0.0,3.0,448,1849,0.0,29.18,29.82,2.7,25.0,9.6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,2007-05-02,60.0,43.0,51.5,-2.5,42.0,47.0,13.0,0.0,447,1850,0.0,29.44,30.08,13.3,2.0,13.4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2,2,2007-05-03,67.0,48.0,57.5,3.5,40.0,50.0,7.0,0.0,446,1851,0.0,29.46,30.12,12.9,6.0,13.2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
3,2,2007-05-04,78.0,51.0,64.5,10.5,42.0,50.0,6.0,0.0,444,1852,0.0,29.36,30.04,10.1,7.0,10.4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2,2007-05-05,66.0,54.0,60.0,6.0,39.0,50.0,5.0,0.0,443,1853,0.008,29.46,30.09,11.2,7.0,11.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2,2007-05-06,68.0,52.0,60.0,6.0,30.0,46.0,5.0,0.0,442,1855,0.0,29.62,30.28,13.8,10.0,14.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,2,2007-05-07,84.0,50.0,67.0,13.0,39.0,53.0,0.0,2.0,441,1856,0.0,29.44,30.12,8.5,17.0,9.9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,2,2007-05-08,80.0,60.0,70.0,16.0,57.0,63.0,0.0,5.0,439,1857,0.008,29.36,30.02,2.5,8.0,5.4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
8,2,2007-05-09,76.0,63.0,69.5,15.5,60.0,63.0,0.0,5.0,438,1858,0.02,29.28,29.93,3.9,7.0,5.9,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
9,2,2007-05-10,83.0,59.0,71.0,17.0,52.0,61.0,0.0,6.0,437,1859,0.0,29.26,29.91,2.0,9.0,3.9,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
10,2,2007-05-11,73.0,49.0,61.0,7.0,44.0,51.0,4.0,0.0,436,1860,0.0,29.39,30.03,11.7,36.0,12.8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,2,2007-05-12,65.0,47.0,56.0,2.0,37.0,46.0,9.0,0.0,435,1901,0.0,29.54,30.19,12.7,1.0,13.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,2,2007-05-13,69.0,44.0,56.5,2.5,32.0,46.0,8.0,0.0,434,1902,0.0,29.55,30.24,6.4,11.0,7.6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,2,2007-05-14,90.0,54.0,72.0,18.0,45.0,58.0,0.0,7.0,433,1903,0.0,29.31,29.98,14.1,21.0,14.6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,2,2007-05-15,82.0,56.0,69.0,15.0,56.0,61.0,0.0,4.0,432,1904,0.6,29.19,29.83,8.1,25.0,10.8,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
15,2,2007-05-16,64.0,45.0,54.5,0.5,42.0,47.0,10.0,0.0,431,1905,0.07,29.39,30.03,8.0,36.0,11.8,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
16,2,2007-05-17,61.0,44.0,52.5,-1.5,32.0,43.0,12.0,0.0,430,1906,0.0,29.62,30.27,11.7,1.0,12.2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,2,2007-05-18,70.0,43.0,56.5,2.5,31.0,47.0,8.0,0.0,429,1907,0.0,29.6,30.26,3.4,22.0,5.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,2,2007-05-19,80.0,56.0,68.0,14.0,37.0,53.0,0.0,3.0,428,1908,0.0,29.41,30.08,11.1,23.0,11.4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,2,2007-05-20,69.0,44.0,56.5,2.5,41.0,45.0,8.0,0.0,427,1909,0.11,29.44,30.11,8.6,3.0,9.7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
20,2,2007-05-21,79.0,46.0,62.5,8.5,50.0,57.0,2.0,0.0,426,1910,0.0,29.39,30.05,6.3,10.0,7.8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,2,2007-05-22,87.0,60.0,73.5,19.5,44.0,58.0,0.0,9.0,425,1911,0.0,29.41,30.05,10.1,16.0,10.6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,2,2007-05-23,89.0,66.0,77.5,23.5,48.0,61.0,0.0,13.0,425,1912,0.0,29.47,30.1,10.9,18.0,11.2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,2,2007-05-24,88.0,66.0,77.0,23.0,53.0,63.0,0.0,12.0,424,1913,0.008,29.47,30.1,13.8,20.0,15.2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
24,2,2007-05-25,66.0,57.0,61.5,7.5,46.0,53.0,3.0,0.0,423,1914,0.09,29.57,30.23,4.5,5.0,8.2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
25,2,2007-05-26,70.0,50.0,60.0,6.0,55.0,57.0,5.0,0.0,422,1915,0.28,29.42,30.1,2.5,15.0,7.8,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
26,2,2007-05-27,75.0,59.0,67.0,13.0,49.0,57.0,0.0,2.0,422,1916,0.08,29.41,30.05,8.2,24.0,9.2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
27,2,2007-05-28,76.0,54.0,65.0,11.0,49.0,57.0,0.0,0.0,421,1916,0.0,29.49,30.14,4.7,8.0,5.2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,2,2007-05-29,88.0,65.0,76.5,22.5,59.0,66.0,0.0,12.0,421,1917,0.0,29.44,30.09,5.8,16.0,7.4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
29,2,2007-05-30,89.0,70.0,79.5,25.5,57.0,66.0,0.0,15.0,420,1918,0.0,29.38,30.03,9.7,17.0,10.1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
30,2,2007-05-31,80.0,68.0,74.0,20.0,61.0,66.0,0.0,9.0,420,1919,0.53,29.34,29.99,8.9,18.0,9.2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
31,2,2007-06-01,86.0,67.0,76.5,22.5,63.0,67.0,0.0,12.0,419,1920,0.21,29.25,29.9,4.7,16.0,5.8,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
32,2,2007-06-02,81.0,68.0,74.5,20.5,62.0,67.0,0.0,10.0,419,1920,0.008,29.1,29.76,7.5,21.0,8.2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
33,2,2007-06-03,77.0,64.0,70.5,16.5,60.0,64.0,0.0,6.0,418,1921,0.32,28.87,29.54,4.9,24.0,7.2,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1
34,2,2007-06-04,72.0,56.0,64.0,10.0,57.0,60.0,1.0,0.0,418,1922,0.31,28.88,29.51,7.9,30.0,10.1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
35,2,2007-06-05,63.0,51.0,57.0,3.0,47.0,52.0,8.0,0.0,417,1923,0.27,29.16,29.78,6.2,3.0,8.1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
36,2,2007-06-06,73.0,48.0,60.5,6.5,47.0,55.0,4.0,0.0,417,1923,0.008,29.13,29.82,9.6,15.0,10.6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
37,2,2007-06-07,92.0,71.0,81.5,27.5,61.0,68.0,0.0,17.0,417,1924,0.0,28.91,29.55,20.3,19.0,20.7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,2,2007-06-08,81.0,63.0,72.0,18.0,54.0,62.0,0.0,7.0,417,1925,0.0,29.24,29.83,9.3,26.0,12.4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,2,2007-06-09,79.0,57.0,68.0,14.0,49.0,58.0,0.0,3.0,416,1925,0.0,29.42,30.05,2.4,19.0,4.7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,2,2007-06-10,81.0,61.0,71.0,17.0,50.0,60.0,0.0,6.0,416,1926,0.0,29.39,30.04,4.6,16.0,5.8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,2,2007-06-11,85.0,65.0,75.0,21.0,51.0,61.0,0.0,10.0,416,1926,0.0,29.47,30.09,6.6,9.0,8.4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
